first_name,last_name,doi,putcode,source,type,journal,volume,number,pages,issn,publisher,title,publication_year,romeo_colour,url_for_pdf,times_cited,authors
Philippe,Juneau,10.1109/EMBC.2016.7591361,53913707,Scopus - Elsevier,conference-paper,,,,,,IEEE,Integration of optical and electrochemical sensors on a microfluidic platform using organic optoelectronic components and silver nanowires,2016,,,,"Poorahong, S.*Lefevre, F.*Perron, M.-C.*Juneau, P.*Izquierdo, R."
Philippe,Juneau,10.1109/NMDC.2016.7777103,53913698,Scopus - Elsevier,conference-paper,,,,,,IEEE,Lab-on-chip with microalgal based biosensor for water assessment,2016,,,1,"Belaidi, F.S.*Tsopela, A.*Salvagnac, L.*Ventalon, V.*Bedel-Pereira, E.*Bardinal, V.*Seguy, I.*Temple-Boyer, P.*Juneau, P.*Izquierdo, R.*Launay, J."
Philippe,Juneau,10.1109/NMDC.2016.7777144,53913663,Scopus - Elsevier,conference-paper,,,,,,IEEE,Organic photodiode for detection of herbicides in water using microalgal photosynthesis,2016,,,,"Ventalon, V.*Sekli, F.*Izquierdo, R.*Juneau, P.*Tsopela, A.*Launay, J.*Bardinal, V.*Temple-Boyer, P.*Salvagnac, L.*Seguy, I.*Bedel-Pereira, E."
Philippe,Juneau,10.1016/j.envpol.2016.07.019,53913668,Scopus - Elsevier,journal-article,Environmental Pollution,,,,0269-7491,Elsevier BV,Oxidative stress in duckweed (Lemna minor L.) induced by glyphosate: Is the mitochondrial electron transport chain a target of this herbicide?,2016,green,,23,"Gomes, M.P.*Juneau, P."
Philippe,Juneau,10.1007/s10646-016-1728-5,53913677,Scopus - Elsevier,journal-article,Ecotoxicology,25,10,1822-1831,0963-9292,Springer Science and Business Media LLC,"Sensitivity of Scenedesmus obliquus and Microcystis aeruginosa to atrazine: effects of acclimation and mixed cultures, and their removal ability",2016,green,,5,"Chalifour, A.*LeBlanc, A.*Sleno, L.*Juneau, P."
Philippe,Juneau,10.1016/j.jembe.2014.11.003,53913726,Scopus - Elsevier,journal-article,Journal of Experimental Marine Biology and Ecology,,,,0022-0981,Elsevier BV,Combined effect of high light and high salinity on the regulation of photosynthesis in three diatom species belonging to the main growth forms of intertidal flat inhabiting microphytobenthos,2015,green,,22,"Juneau, P.*Barnett, A.*Méléder, V.*Dupuy, C.*Lavaud, J."
Philippe,Juneau,10.1016/j.scitotenv.2015.07.054,53913718,Scopus - Elsevier,journal-article,The Science of The Total Environment,,,,0048-9697,Elsevier BV,Consequences of phosphate application on glyphosate uptake by roots: Impacts for environmental management practices,2015,green,,8,"Gomes, M.P.*Maccario, S.*Lucotte, M.*Labrecque, M.*Juneau, P."
Philippe,Juneau,10.1016/j.snb.2015.07.077,53913738,Scopus - Elsevier,journal-article,Sensors and Actuators B Chemical,,,,0925-4005,Elsevier BV,Integration of fluorescence sensors using organic optoelectronic components for microfluidic platform,2015,green,,13,"Lefèvre, F.*Juneau, P.*Izquierdo, R."
Philippe,Juneau,10.1109/TRANSDUCERS.2015.7181251,53913717,Scopus - Elsevier,conference-paper,,,,,,IEEE,Light emitting devices and integrated electrochemical sensors on lab-on-chip for toxicity bioassays based on algal physiology,2015,,,,"Tsopela, A.*Laborde, A.*Salvagnac, L.*Seguy, I.*Izquierdo, R.*Juneau, P.*Temple-Boyer, P.*Launay, J."
Philippe,Juneau,10.1093/jxb/eru269,53913710,Scopus - Elsevier,journal-article,Journal of Experimental Botany,65,17,4691-4703,1460-2431,Oxford University Press (OUP),Alteration of plant physiology by glyphosate and its by-product aminomethylphosphonic acid: An overview,2014,green,https://academic.oup.com/jxb/article-pdf/65/17/4691/18044177/eru269.pdf,71,"Gomes, M.P.*Smedbol, E.*Chalifour, A.*Hénault-Ethier, L.*Labrecque, M.*Lepage, L.*Lucotte, M.*Juneau, P."
Philippe,Juneau,10.4319/lo.2014.59.1.0001,53913695,Scopus - Elsevier,journal-article,Limnology and Oceanography,59,1,1-16,0024-3590,Wiley,Biomass and productivity responses of zooplankton communities to experimental thermocline deepening,2014,yellow,,11,"Sastri, A.R.*Gauthier, J.*Juneau, P.*Beisner, B.E."
Philippe,Juneau,10.1080/09670262.2014.977962,53913666,Scopus - Elsevier,journal-article,European Journal of Phycology,49,4,508-515,0967-0262,Informa UK Limited,"Combined effect of temperature and bleaching herbicides on photosynthesis, pigment and fatty acid composition of Chlamydomonas reinhardtii",2014,green,,6,"Chalifour, A.*Arts, M.T.*Kainz, M.J.*Juneau, P."
Philippe,Juneau,10.1016/j.bios.2014.05.004,53913723,Scopus - Elsevier,journal-article,Biosensors and Bioelectronics,,,,0956-5663,Elsevier BV,Integrated electrochemical biosensor based on algal metabolism for water toxicity analysis,2014,green,,18,"Tsopela, A.*Lale, A.*Vanhove, E.*Reynes, O.*Séguy, I.*Temple-Boyer, P.*Juneau, P.*Izquierdo, R.*Launay, J."
Philippe,Juneau,10.1007/s11738-014-1674-x,53913671,Scopus - Elsevier,journal-article,Acta Physiologiae Plantarum,36,11,3039-3050,0137-5881,Springer Science and Business Media LLC,Nitrogen resorption in Acer platanoides and Acer saccharum: influence of light exposure and leaf pigmentation,2014,green,,3,"Duan, B.*Paquette, A.*Juneau, P.*Brisson, J.*Fontaine, B.*Berninger, F."
Philippe,Juneau,10.1016/B978-0-12-799963-0.00002-2,53913658,Scopus - Elsevier,book,,,,,,Elsevier,Reactive Oxygen Species and Plant Hormones,2014,,,7,"Pedrosa Gomes, M.*Smedbol, Élise*Mércia Lima Carvalho Carneiro, M.*Souza Garcia, Q.*Juneau, P."
